filename	size	churn	minor	major	total	ownership	bugs
docs/content/tables.md	193.0	276.0	0.0	2.0	2.0	0.875	0
docs/content/reboot.md	36.0	28.0	0.0	1.0	1.0	1.0	0
docs/examples/navbar/index.html	851.0	621.0	0.0	4.0	4.0	0.7222222222222222	0
docs/assets/js/vendor/jquery.min.js	163.0	24.0	0.0	3.0	3.0	0.7	2
docs/getting-started/options.md	72.0	78.0	3.0	3.0	6.0	0.48	0
docs/components/jumbotron.md	14.0	42.0	0.0	2.0	2.0	0.6666666666666666	0
Gruntfile.js	253.0	192.0	0.0	2.0	2.0	0.5625	2
scss/mixins/_screen-reader.scss	1.0	0.0	0.0	2.0	2.0	0.8571428571428571	0
docs/examples/navbar-top/index.html	4.0	104.0	0.0	5.0	5.0	0.46153846153846156	0
scss/_buttons.scss	41.0	151.0	0.0	5.0	5.0	0.7058823529411765	1
docs/components/scrollspy.md	261.0	134.0	3.0	2.0	5.0	0.5	0
scss/utilities/_flex.scss	405.0	1097.0	3.0	3.0	6.0	0.423728813559322	0
js/dist/tooltip.js.map	177.0	248.0	0.0	4.0	4.0	0.6875	0
docs/utilities/colors.md	32.0	18.0	0.0	4.0	4.0	0.6666666666666666	1
composer.json	403.0	100.0	0.0	2.0	2.0	0.7777777777777778	1
js/dist/button.js	51.0	80.0	4.0	3.0	7.0	0.4583333333333333	3
docs/components/navbar.md	176.0	63.0	0.0	2.0	2.0	0.8461538461538461	0
docs/components/input-group.md	52.0	16.0	0.0	3.0	3.0	0.5	0
scss/_tooltip.scss	37.0	226.0	0.0	4.0	4.0	0.7894736842105263	2
docs/assets/css/docs-flexbox.min.css	57.0	40.0	0.0	3.0	3.0	0.625	0
docs/getting-started/introduction.md	52.0	4.0	0.0	2.0	2.0	0.75	0
docs/assets/scss/_nav.scss	1.0	0.0	3.0	2.0	5.0	0.8857142857142857	1
docs/getting-started/flexbox.md	86.0	20.0	0.0	1.0	1.0	1.0	1
docs/assets/js/vendor/tether.min.js	4.0	104.0	0.0	5.0	5.0	0.46153846153846156	0
scss/utilities/_display.scss	49.0	196.0	0.0	2.0	2.0	0.875	0
js/tests/visual/tooltip.html	37.0	8.0	0.0	2.0	2.0	0.75	0
scss/mixins/_float.scss	167.0	284.0	0.0	3.0	3.0	0.8333333333333334	0
docs/dist/css/bootstrap-flex.min.css	315.0	581.0	3.0	2.0	5.0	0.8157894736842105	4
scss/mixins/_hover.scss	415.0	374.0	3.0	1.0	4.0	0.9032258064516129	4
js/tests/visual/button.html	243.0	98.0	0.0	2.0	2.0	0.9	0
bower.json	285.0	674.0	0.0	3.0	3.0	0.7272727272727273	0
scss/_alert.scss	90.0	102.0	0.0	2.0	2.0	0.7	1
js/dist/scrollspy.js.map	262.0	975.0	6.0	2.0	8.0	0.7317073170731707	1
docs/assets/css/docs.min.css	131.0	62.0	0.0	3.0	3.0	0.6363636363636364	0
docs/_includes/social.html	50.0	291.0	0.0	1.0	1.0	1.0	0
scss/_reboot.scss	33.0	193.0	0.0	2.0	2.0	0.875	0
scss/mixins/_text-emphasis.scss	13.0	39.0	0.0	2.0	2.0	0.6666666666666666	0
scss/_custom.scss	40.0	30.0	0.0	2.0	2.0	0.9090909090909091	0
docs/_data/browser-bugs.yml	52.0	24.0	0.0	4.0	4.0	0.6363636363636364	0
docs/assets/css/docs-flexbox.min.css.map	1.0	18.0	0.0	4.0	4.0	0.5714285714285714	0
dist/css/bootstrap-flex.min.css.map	45.0	16.0	0.0	2.0	2.0	0.8333333333333334	0
scss/_utilities.scss	13.0	39.0	0.0	2.0	2.0	0.6666666666666666	2
js/tests/unit/tooltip.js	34.0	100.0	0.0	2.0	2.0	0.75	0
docs/layout/responsive-utilities.md	256.0	103.0	0.0	5.0	5.0	0.4666666666666667	0
docs/dist/css/bootstrap-reboot.css	39.0	16.0	0.0	2.0	2.0	0.5	1
docs/_includes/page-headers.html	188.0	157.0	0.0	4.0	4.0	0.8421052631578947	1
Gemfile.lock	42.0	16.0	0.0	2.0	2.0	0.5	0
docs/_includes/ads.html	23.0	69.0	0.0	2.0	2.0	0.6666666666666666	0
docs/assets/brand/bootstrap-social-logo.png	65.0	20.0	0.0	4.0	4.0	0.5454545454545454	0
scss/_close.scss	301.0	169.0	0.0	3.0	3.0	0.7	6
docs/dist/css/bootstrap-grid.min.css	7.0	58.0	0.0	1.0	1.0	1.0	0
js/dist/util.js.map	60.0	82.0	0.0	4.0	4.0	0.5714285714285714	0
js/dist/tab.js.map	66.0	41.0	0.0	3.0	3.0	0.42857142857142855	0
package.js	35.0	25.0	0.0	4.0	4.0	0.5	0
scss/mixins/_tab-focus.scss	125.0	294.0	0.0	4.0	4.0	0.6842105263157895	1
docs/assets/brand/bootstrap-social.png	7381.0	29784.0	0.0	1.0	1.0	1.0	0
.gitignore	82.0	40.0	0.0	2.0	2.0	0.75	1
docs/assets/scss/_skiplink.scss	1.0	0.0	0.0	3.0	3.0	0.8333333333333334	0
scss/mixins/_tag.scss	1557.0	7933.0	2.0	2.0	4.0	0.8285714285714286	0
scss/mixins/_grid.scss	31.0	124.0	0.0	1.0	1.0	1.0	0
docs/_includes/callout-warning-color-assistive-technologies.md	150.0	172.0	0.0	2.0	2.0	0.75	0
js/dist/modal.js.map	470.0	138.0	0.0	2.0	2.0	0.75	3
docs/components/breadcrumb.md	69.0	255.0	0.0	2.0	2.0	0.8333333333333334	0
scss/utilities/_text.scss	186.0	128.0	3.0	3.0	6.0	0.52	3
js/.eslintrc.json	17.0	16.0	0.0	2.0	2.0	0.8	0
docs/extend/icon-fonts.md	388.0	336.0	1.0	3.0	4.0	0.75	3
docs/assets/js/vendor/holder.min.js	1.0	0.0	0.0	1.0	1.0	1.0	1
docs/dist/js/bootstrap.min.js	135.0	166.0	5.0	3.0	8.0	0.5769230769230769	2
scss/mixins/_breakpoints.scss	13.0	52.0	0.0	1.0	1.0	1.0	1
docs/content/figures.md	12.0	8.0	0.0	1.0	1.0	1.0	0
docs/components/list-group.md	4.0	20.0	0.0	1.0	1.0	1.0	0
nuget/MyGet.ps1	592.0	539.0	1.0	3.0	4.0	0.8181818181818182	1
_config.yml	106.0	4.0	0.0	2.0	2.0	0.75	0
dist/css/bootstrap.min.css.map	451.0	1920.0	2.0	3.0	5.0	0.7403846153846154	2
docs/examples/blog/blog.css	217.0	185.0	3.0	1.0	4.0	0.8571428571428571	3
docs/examples/sticky-footer-navbar/index.html	29.0	116.0	0.0	1.0	1.0	1.0	0
docs/about/translations.md	33.0	12.0	0.0	1.0	1.0	1.0	0
docs/assets/scss/_team.scss	1.0	0.0	3.0	2.0	5.0	0.8761904761904762	1
js/tests/vendor/qunit.js	45.0	94.0	1.0	3.0	4.0	0.34615384615384615	1
js/src/tab.js	17.0	0.0	0.0	2.0	2.0	0.9090909090909091	0
docs/getting-started/best-practices.md	1.0	0.0	0.0	1.0	1.0	1.0	0
js/src/collapse.js	11.0	35.0	0.0	2.0	2.0	0.9285714285714286	0
docs/_layouts/docs.html	930.0	2337.0	4.0	3.0	7.0	0.7619047619047619	2
docs/layout/overview.md	22.0	6.0	0.0	2.0	2.0	0.6	0
dist/css/bootstrap-reboot.css	63.0	0.0	2.0	3.0	5.0	0.75	0
js/src/alert.js	58.0	132.0	0.0	2.0	2.0	0.9	1
docs/examples/dashboard/dashboard.css	7.0	209.0	2.0	2.0	4.0	0.8947368421052632	1
docs/assets/scss/_syntax.scss	113.0	90.0	0.0	2.0	2.0	0.6666666666666666	1
dist/css/bootstrap.css	3430.0	7225.0	1.0	3.0	4.0	0.7857142857142857	0
docs/components/button-group.md	174.0	74.0	0.0	1.0	1.0	1.0	1
scss/_card.scss	808.0	8.0	0.0	2.0	2.0	0.75	1
grunt/bs-sass-compile/libsass.js	56.0	16.0	0.0	1.0	1.0	1.0	0
scss/_print.scss	45.0	14.0	0.0	3.0	3.0	0.5714285714285714	0
scss/_mixins.scss	591.0	1334.0	0.0	2.0	2.0	0.9166666666666666	0
scss/mixins/_gradients.scss	19.0	45.0	0.0	4.0	4.0	0.5	0
docs/_includes/nav-home.html	77.0	12.0	0.0	2.0	2.0	0.8333333333333334	0
package.json	46.0	15.0	0.0	2.0	2.0	0.6666666666666666	0
dist/css/bootstrap-reboot.css.map	157.0	72.0	0.0	2.0	2.0	0.8888888888888888	1
js/dist/dropdown.js	107.0	4.0	0.0	1.0	1.0	1.0	0
docs/utilities/image-replacement.md	1.0	0.0	0.0	2.0	2.0	0.8888888888888888	0
docs/.htmlhintrc	56.0	506.0	3.0	3.0	6.0	0.4	1
js/.jscsrc	3430.0	7225.0	1.0	3.0	4.0	0.7857142857142857	0
scss/mixins/_forms.scss	50.0	200.0	0.0	3.0	3.0	0.7	0
scss/utilities/_spacing.scss	26.0	150.0	1.0	3.0	4.0	0.6086956521739131	0
js/tests/index.html	1.0	6.0	0.0	1.0	1.0	1.0	0
js/dist/carousel.js	155.0	91.0	0.0	3.0	3.0	0.7272727272727273	0
docs/dist/css/bootstrap-flex.css.map	267.0	0.0	0.0	1.0	1.0	1.0	0
docs/assets/scss/_featurettes.scss	2.0	14.0	0.0	1.0	1.0	1.0	1
scss/.scss-lint.yml	31.0	12.0	0.0	1.0	1.0	1.0	0
grunt/change-version.js	1.0	0.0	2.0	3.0	5.0	0.8640776699029126	1
scss/_forms.scss	4437.0	14373.0	0.0	2.0	2.0	0.6666666666666666	1
grunt/postcss.js	2.0	18.0	0.0	1.0	1.0	1.0	0
docs/assets/js/ie10-viewport-bug-workaround.js	1.0	0.0	0.0	2.0	2.0	0.875	0
docs/dist/css/bootstrap.min.css	51.0	56.0	0.0	4.0	4.0	0.47368421052631576	0
js/tests/unit/collapse.js	1.0	0.0	0.0	2.0	2.0	0.8571428571428571	0
docs/_plugins/highlight_alt.rb	19.0	20.0	0.0	3.0	3.0	0.7777777777777778	0
js/dist/alert.js	338.0	224.0	3.0	3.0	6.0	0.6451612903225806	0
docs/assets/scss/_component-examples.scss	228.0	16.0	0.0	1.0	1.0	1.0	1
docs/getting-started/accessibility.md	148.0	191.0	0.0	4.0	4.0	0.7142857142857143	0
docs/getting-started/download.md	2534.0	0.0	0.0	1.0	1.0	1.0	0
docs/examples/cover/index.html	95.0	59.0	0.0	6.0	6.0	0.5	0
scss/mixins/_pagination.scss	162.0	16.0	0.0	2.0	2.0	0.5	1
CHANGELOG.md	651.0	54.0	0.0	5.0	5.0	0.6428571428571429	1
docs/migration.md	131.0	58.0	0.0	4.0	4.0	0.7333333333333333	1
docs/assets/js/vendor/anchor.min.js	498.0	74.0	3.0	2.0	5.0	0.7142857142857143	3
docs/components/buttons.md	196.0	130.0	0.0	3.0	3.0	0.8571428571428571	0
scss/mixins/_cards.scss	176.0	45.0	0.0	4.0	4.0	0.5714285714285714	0
docs/content/images.md	40.0	32.0	0.0	1.0	1.0	1.0	0
docs/utilities/clearfix.md	19.0	36.0	0.0	4.0	4.0	0.6666666666666666	0
docs/assets/js/vendor/jekyll-search.min.js	8.0	112.0	3.0	3.0	6.0	0.4642857142857143	0
docs/assets/scss/_buttons.scss	14.0	4.0	0.0	1.0	1.0	1.0	0
scss/_button-group.scss	11.0	44.0	0.0	2.0	2.0	0.75	0
docs/components/dropdowns.md	81.0	57.0	0.0	2.0	2.0	0.75	0
docs/assets/scss/_content.scss	107.0	392.0	5.0	2.0	7.0	0.7575757575757576	0
nuget/bootstrap.sass.nuspec	1.0	0.0	0.0	3.0	3.0	0.7857142857142857	0
docs/layout/grid.md	26.0	36.0	0.0	3.0	3.0	0.75	0
scss/bootstrap-grid.scss	34.0	20.0	0.0	1.0	1.0	1.0	0
js/src/carousel.js	59.0	44.0	0.0	3.0	3.0	0.8	1
grunt/npm-shrinkwrap.json	206.0	1889.0	0.0	3.0	3.0	0.6875	0
js/tests/vendor/jquery.min.js	1.0	0.0	0.0	1.0	1.0	1.0	1
docs/about/history.md	19.0	32.0	0.0	2.0	2.0	0.75	0
dist/css/bootstrap-flex.css.map	34.0	4.0	0.0	1.0	1.0	1.0	0
docs/_includes/footer.html	13.0	39.0	0.0	3.0	3.0	0.6666666666666666	0
docs/assets/scss/_footer.scss	10.0	32.0	0.0	3.0	3.0	0.5	0
docs/utilities/responsive-helpers.md	7.0	120.0	1.0	3.0	4.0	0.7407407407407407	0
js/dist/modal.js	25.0	0.0	0.0	3.0	3.0	0.5	0
docs/utilities/typography.md	85.0	54.0	0.0	4.0	4.0	0.42105263157894735	2
docs/examples/starter-template/index.html	1.0	0.0	0.0	2.0	2.0	0.9166666666666666	0
scss/_popover.scss	168.0	25.0	0.0	2.0	2.0	0.6	0
js/tests/vendor/qunit.css	130.0	297.0	1.0	4.0	5.0	0.6666666666666666	3
dist/css/bootstrap-grid.css.map	18.0	64.0	0.0	3.0	3.0	0.5	0
scss/_breadcrumb.scss	145.0	201.0	0.0	4.0	4.0	0.6	0
scss/mixins/_grid-framework.scss	29.0	93.0	0.0	3.0	3.0	0.6666666666666666	0
docs/getting-started/build-tools.md	1.0	0.0	1.0	3.0	4.0	0.8627450980392157	1
js/src/modal.js	129.0	68.0	2.0	3.0	5.0	0.5217391304347826	1
js/tests/visual/scrollspy.html	166.0	16.0	0.0	1.0	1.0	1.0	0
js/dist/tooltip.js	81.0	88.0	4.0	3.0	7.0	0.4	3
docs/assets/scss/_clipboard-js.scss	17.0	0.0	0.0	3.0	3.0	0.5	0
js/.babelrc	18.0	4.0	0.0	1.0	1.0	1.0	0
scss/_carousel.scss	28.0	4.0	0.0	1.0	1.0	1.0	0
docs/getting-started/browsers-devices.md	5.0	8.0	0.0	2.0	2.0	0.75	0
docs/examples/grid/index.html	2.0	18.0	0.0	1.0	1.0	1.0	0
docs/components/navs.md	17.0	4.0	0.0	1.0	1.0	1.0	0
js/tests/visual/carousel.html	18.0	4.0	0.0	1.0	1.0	1.0	0
docs/utilities/display-property.md	85.0	24.0	0.0	3.0	3.0	0.4	0
dist/css/bootstrap-grid.min.css	23.0	266.0	0.0	2.0	2.0	0.875	1
docs/examples/dashboard/index.html	108.0	687.0	5.0	3.0	8.0	0.42857142857142855	2
docs/dist/css/bootstrap-flex.min.css.map	157.0	184.0	0.0	4.0	4.0	0.6666666666666666	1
docs/_data/nav.yml	39.0	61.0	0.0	3.0	3.0	0.8333333333333334	0
scss/_custom-forms.scss	179.0	374.0	0.0	2.0	2.0	0.8571428571428571	0
docs/assets/scss/flex-grid.scss	193.0	24.0	0.0	2.0	2.0	0.8333333333333334	1
docs/utilities/close-icon.md	102.0	12.0	0.0	2.0	2.0	0.5	0
docs/getting-started/contents.md	1.0	0.0	0.0	1.0	1.0	1.0	0
docs/dist/css/bootstrap.css	66.0	231.0	0.0	2.0	2.0	0.8571428571428571	0
docs/utilities/sizing-and-positioning.md	857.0	1668.0	11.0	2.0	13.0	0.5360824742268041	5
CONTRIBUTING.md	39.0	18.0	0.0	2.0	2.0	0.8333333333333334	0
js/tests/visual/alert.html	231.0	127.0	2.0	3.0	5.0	0.5357142857142857	3
scss/_input-group.scss	6686.0	10229.0	2.0	2.0	4.0	0.8877551020408163	1
docs/utilities/invisible-content.md	53.0	74.0	4.0	3.0	7.0	0.4583333333333333	3
docs/assets/scss/docs.scss	158.0	4.0	0.0	1.0	1.0	1.0	1
js/dist/dropdown.js.map	1446.0	0.0	0.0	3.0	3.0	0.5	0
docs/dist/css/bootstrap-grid.css	322.0	368.0	4.0	2.0	6.0	0.8055555555555556	4
docs/examples/justified-nav/index.html	70.0	161.0	0.0	4.0	4.0	0.46153846153846156	0
docs/dist/css/bootstrap.css.map	35.0	18.0	0.0	2.0	2.0	0.8333333333333334	0
scss/_type.scss	122.0	942.0	1.0	4.0	5.0	0.64	1
docs/utilities/screenreaders.md	54.0	20.0	0.0	3.0	3.0	0.8333333333333334	0
docs/utilities/spacing.md	27.0	114.0	0.0	5.0	5.0	0.5	0
docs/examples/carousel/index.html	95.0	0.0	0.0	3.0	3.0	0.5	0
scss/mixins/_reset-text.scss	246.0	902.0	3.0	1.0	4.0	0.8571428571428571	0
README.md	36.0	60.0	0.0	2.0	2.0	0.75	1
docs/examples/justified-nav/justified-nav.css	12.0	6.0	0.0	1.0	1.0	1.0	0
docs/components/card.md	43.0	24.0	0.0	2.0	2.0	0.6666666666666666	0
docs/components/collapse.md	1.0	0.0	0.0	1.0	1.0	1.0	0
.travis.yml	36.0	40.0	0.0	1.0	1.0	1.0	0
docs/about/brand.md	293.0	230.0	3.0	2.0	5.0	0.75	1
docs/examples/album/index.html	59.0	321.0	0.0	3.0	3.0	0.8125	0
docs/components/forms.md	1.0	0.0	0.0	1.0	1.0	1.0	0
LICENSE	9.0	24.0	0.0	3.0	3.0	0.5	0
dist/css/bootstrap.min.css	350.0	750.0	0.0	2.0	2.0	0.8888888888888888	0
